Location,2 Days Rain in a row,Days Observed
Adelaide,318,3193
Albany,432,3040
Albury,267,3040
AliceSprings,103,3040
BadgerysCreek,244,3009
Ballarat,352,3040
Bendigo,217,3040
Brisbane,315,3193
Cairns,579,3040
Canberra,224,3436
Cobar,140,3009
CoffsHarbour,452,3009
Dartmoor,489,3009
Darwin,521,3193
GoldCoast,407,3040
Hobart,278,3193
Katherine,133,1578
Launceston,296,3040
Melbourne,221,3193
MelbourneAirport,232,3009
Mildura,94,3009
Moree,124,3009
MountGambier,476,3040
MountGinini,406,3040
Newcastle,325,3039
Nhil,81,1578
NorahHead,409,3004
NorfolkIsland,396,3009
Nuriootpa,260,3009
PearceRAAF,212,3009
Penrith,254,3039
Perth,323,3193
PerthAirport,275,3009
Portland,613,3009
Richmond,248,3009
Sale,241,3009
SalmonGums,165,3001
Sydney,443,3344
SydneyAirport,371,3009
Townsville,259,3040
Tuggeranong,215,3039
Uluru,39,1578
WaggaWagga,201,3009
Walpole,482,3006
Watsonia,296,3009
Williamtown,286,3009
Witchcliffe,507,3009
Wollongong,331,3040
Woomera,45,3009
